,actors_list,num_appearances,avg_critics_vote
0, Agneta Ulfsäter-Troell,1,7.0
1, Gian Marco Ceccaranelli,1,7.580409936516369
2,'Chiyaan' Vikram,1,4.0
3,'E.' Jay,1,2.0
4,'Kecske' Molnár Levente,1,6.0
5,'Legs' Larry Smith,1,5.0
6,'Little Milton' Campbell,1,8.0
7,'M.' Kadath,1,2.0
8,'Magic' Matt Alan,1,6.0
9,'Nduccio,1,5.004691928492179
10,'Tommy' Haynes,1,6.25
11,'Wild' Bill Mock,1,6.570407364580014
12,50 Cent,22,4.360222666311952
13,A Martinez,14,5.312857142857142
14,A. Alekseev,1,7.0
15,A. Arnold,1,8.0
16,A. Avagyan,1,8.0
17,A. Bromley Davenport,1,6.27
18,A. Chikvaidze,1,8.0
19,A. Dendincev,1,8.0
20,A. Isahakyan,1,8.0
21,A. Ljarskij,1,8.0
22,A. Martjnov,1,8.0
23,A. Michael Baldwin,3,4.666666666666667
24,A. Russell Andrews,1,5.4587468859686386
25,A. Sdrock,1,8.0
26,A. Simonov,1,8.0
27,A.C. Peterson,1,5.273783139944628
28,A.D. Johnson,1,4.1787141013461735
29,A.D. Miles,2,5.079908958436311
30,A.J. Applegate,1,1.6038177194014387
31,A.J. Brown,1,5.67
32,A.J. Buckley,9,5.001632722269837
33,A.J. Castro,1,1.5
34,A.J. Cook,4,4.3475
35,A.J. Goodrich,1,6.75
36,A.J. Helm,1,8.0
37,A.J. Houghton,1,6.0
38,A.J. Johnson,1,7.0
39,A.J. Langer,1,6.63
40,A.J. Lowenthal,1,4.449096439494908
41,AJ Anable,1,6.45
42,AJ Blackwell,1,1.9743320872204948
43,AJ Bowen,11,4.782407252271366
44,AJ Dyer,1,4.5
45,AJ Michalka,5,5.105985515243553
46,AJ Wilkerson,1,6.25
47,AMG,1,5.5
48,Aad Wirtz,1,7.0
49,Aadila Dosani,2,4.7268941839935446
50,Aaliyah,2,4.65
51,Aamir Ali Malik,1,8.0
52,Aamir Khan,5,5.85266274469951
53,Aamir Khan,1,8.0
54,Aamu Milonoff,1,6.0
55,Aaralyn Barra,1,4.449096439494908
56,Aarif Rahman,3,6.174977274224434
57,Aarlo Mertz,1,6.5
