,directors_list,num_appearances,avg_critics_vote
11535,Steno,66,5.493636363636363
7978,Mario Mattòli,58,5.19551724137931
12304,Umberto Lenzi,52,4.4721153846153845
3055,Dino Risi,49,6.097755102040817
12589,Werner Herzog,47,7.034042553191489
7980,Mario Monicelli,46,6.577826086956521
1782,Carlo Vanzina,45,3.965333333333333
6171,John Ford,45,7.1897777777777785
11196,Sergio Corbucci,45,5.414222222222222
9052,Neri Parenti,43,4.33103940698671
12713,Woody Allen,42,7.04
7573,Lucio Fulci,42,5.196190476190476
8517,Michael Curtiz,42,7.022495520847208
5257,Ingmar Bergman,41,7.077804878048781
10012,Pupi Avati,41,5.86609756097561
11799,Takashi Miike,40,6.4913111584610235
7927,Mariano Laurenti,40,3.4715000000000003
11203,Sergio Martino,39,4.337179487179488
509,Alfred Hitchcock,39,7.247692307692307
2219,Claude Chabrol,38,6.219473684210526
5746,Jean-Luc Godard,37,6.346216216216217
10306,Richard Fleischer,37,6.363243243243243
1630,Bruno Corbucci,36,3.9619444444444443
5331,J. Lee Thompson,34,5.799113636627841
7947,Marino Girolami,34,3.7455882352941177
11330,Sidney Lumet,33,6.64318142611487
5162,Howard Hawks,33,7.791515151515152
2292,Clint Eastwood,32,7.074375
3258,Edgar Reitz,32,8.294375
4557,Giorgio Simonelli,32,4.2884375
10078,Rainer Werner Fassbinder,32,6.9003125
271,Alberto Lattuada,31,6.351935483870967
2222,Claude Lelouch,31,6.619010849473421
6200,John Huston,31,7.182903225806451
1770,Carlo Ludovico Bragaglia,31,4.63
10132,Raoul Walsh,31,7.121148742089844
7591,Luigi Comencini,31,6.353225806451612
7734,Manoel de Oliveira,30,7.256333333333333
286,Alberto Sironi,30,5.744666666666666
4298,George Cukor,30,7.376666666666667
9475,Pasquale Festa Campanile,30,4.533666666666666
11671,Steven Spielberg,30,6.997333333333334
8389,Mauro Bolognini,30,5.924666666666667
5063,Henry Hathaway,30,7.062290238754637
12682,Wim Wenders,30,6.182
1722,Camillo Mastrocinque,29,5.106896551724137
161,Akira Kurosawa,29,7.962413793103448
7823,Marco Bellocchio,29,6.899655172413794
3601,Ernst Lubitsch,29,6.893793103448276
1769,Carlo Lizzani,29,5.675321050055697
1008,Antonio Margheriti,28,4.482857142857143
1408,Blake Edwards,28,6.391071428571428
12454,Vincente Minnelli,28,7.318928571428572
10573,Robert Wise,28,6.885528995556527
503,Alfonso Brescia,28,3.4846428571428567
10445,Robert Altman,27,6.904074074074074
7611,Luis Buñuel,27,7.645555555555556
12767,Yasujiro Ozu,27,7.568888888888889
4534,Giorgio Bianchi,27,4.721111111111111
8534,Michael Feifer,27,4.62519951220974
7118,Lamberto Bava,27,4.832543400225197
4130,Fritz Lang,27,7.721111111111111
3547,Eric Rohmer,26,7.0649999999999995
10362,Richard Thorpe,26,5.983788099393257
6300,John Sturges,26,6.5842307692307696
11451,Spike Lee,25,6.6296
12491,Vittorio Cottafavi,25,4.687152878634278
11670,Steven Soderbergh,25,6.2816
6176,John Frankenheimer,25,6.568358814903477
10684,Roger Corman,25,6.952000000000001
7950,Mario Amendola,25,3.7456
7843,Marco Ferreri,25,6.7620000000000005
8141,Martin Scorsese,25,7.562799999999999
1785,Carlo Verdone,24,5.977916666666666
9356,Otto Preminger,24,6.873333333333334
3585,Ermanno Olmi,24,6.667638068305325
3967,Francis Ford Coppola,24,7.676666666666667
9295,Oliver Stone,24,6.867916666666667
11558,Stephen Frears,24,6.87375
11902,Terry Ingram,24,4.084377288271541
942,Anthony Mann,24,7.296202677546785
10443,Robert Aldrich,24,7.357500000000001
12622,William A. Wellman,24,6.618104359055098
6891,Ken Loach,24,7.216666666666666
3080,Domenico Paolella,24,4.048333333333333
10130,Raoul Ruiz,24,7.262050682774395
10071,Raffaello Matarazzo,24,5.656666666666666
7561,Luciano Salce,24,5.390416666666667
4709,Gordon Douglas,24,5.7108504140215155
10394,Ridley Scott,23,6.540434782608696
337,Aleksandr Sokurov,23,7.602608695652174
11660,Steven R. Monroe,23,4.038965657346834
4029,Frank Capra,23,7.417985691681006
6483,Joseph Losey,23,7.436521739130434
11328,Sidney J. Furie,23,5.056521739130434
6733,Júlio Bressane,23,6.713201059677563
361,Alessandro Blasetti,23,5.932173913043478
3760,Federico Fellini,23,7.778260869565218
7609,Luigi Zampa,23,5.949130434782609
4315,George Marshall,23,5.825411181660163
10620,Roberto Rossellini,23,6.642608695652174
38,Abel Ferrara,22,6.346560783231509
7994,Mario Soldati,22,5.873181818181819
7375,Lina Wertmüller,22,4.84787777579052
4537,Giorgio Capitani,22,4.044090909090909
4119,Frederick Wiseman,22,8.06
3632,Ettore Scola,22,6.431363636363637
2472,Damiano Damiani,22,6.093636363636364
12309,Unknown,22,5.926957856971442
11887,Terence Young,22,5.940396251570649
3179,Douglas Jackson,22,4.8910688133795075
7481,Louis Malle,21,6.685238095238095
12674,William Wyler,21,7.812380952380953
10718,Roman Polanski,21,7.35047619047619
1495,Bradford May,21,4.50500443078934
3130,Don Siegel,21,7.395714285714286
6643,Julien Duvivier,21,7.201192941417327
779,Andrey Konchalovskiy,21,6.373333333333333
7958,Mario Caiano,21,4.15
4092,François Truffaut,20,7.7425
7589,Luigi Capuano,20,3.6
4109,Fred Olen Ray,20,4.348868938457772
9237,Norman Jewison,20,6.787000000000001
10303,Richard Donner,20,6.298
4452,Gianluca Maria Tavarelli,20,6.355898485870016
3185,Douglas Sirk,20,7.06
3300,Edward Dmytryk,20,6.729274552884729
1228,Barry Levinson,20,6.662000000000001
6379,Jonathan Demme,20,7.113183678238462
6053,Joe D'Amato,20,3.571
9792,Peter Yates,20,6.294728599070081
6983,Kim Ki-duk,20,6.525499999999999
3499,Enzo G. Castellari,20,4.914
5705,Jean Renoir,20,7.834941098292849
12493,Vittorio De Sica,20,6.756526365583528
11346,Silvio Amadio,20,3.962005176976386
11880,Terence Fisher,20,6.30414436476243
6322,Johnnie To,20,6.853451715172905
7959,Mario Camerini,20,6.1435
6935,Kevin Connor,20,5.625914500184099
9621,Paul Ziller,20,4.756109960497005
10559,Robert Stevenson,20,6.3965000000000005
11404,Sion Sono,19,6.816498412949294
3797,Ferdinando Baldi,19,3.9247368421052626
6054,Joe D'Amato (Aristide Massaccesi),19,4.551052631578948
7001,King Vidor,19,7.223684210526316
3811,Fernando Di Leo,19,4.974736842105263
9595,Paul Schrader,19,7.1763157894736835
12893,Zhang Yimou,19,6.913157894736842
12037,Tinto Brass,19,5.143684210526316
11466,Stanley Donen,19,7.058947368421053
8737,Michele Massimo Tarantini,19,3.15
6894,Ken Russell,19,6.974426717087237
8067,Mark Robson,19,6.284736842105263
8812,Mike Nichols,19,6.8373684210526315
6316,John Woo,19,6.976315789473685
9242,Norman Taurog,19,6.423684210526315
2856,David S. Cass sr.,18,4.506715172581521
9638,Pedro Almodóvar,18,7.076666666666666
10259,Riccardo Freda,18,5.474444444444445
4811,Guido Brignone,18,4.5744444444444445
192,Alain Resnais,18,7.06
2652,Dario Argento,18,5.926666666666667
5070,Henry Levin,18,5.739419370626509
266,Alberto De Martino,18,3.7405555555555554
10731,Ron Howard,18,6.3311111111111105
3205,Duccio Tessari,18,4.949999999999999
12256,Tsui Hark,18,6.269505501510318
159,Aki Kaurismäki,18,7.376111111111111
8992,Nanni Loy,18,6.227777777777778
6217,John Landis,18,6.34
10589,Roberto Bianchi Montero,18,3.5694444444444446
1106,Arthur Hiller,18,5.863333333333333
134,Agnés Varda,18,7.613333333333333
7041,Koji Wakamatsu,18,7.375555555555555
4339,George Sherman,18,6.13437703447681
4190,Gabriele Salvatores,18,5.791666666666667
4238,Gary Yates,18,4.5166389730365815
1641,Bruno Mattei,18,2.5694444444444446
7953,Mario Bava,18,6.102777777777778
1399,Billy Wilder,18,8.064444444444444
4018,Franco Rossi,18,5.362994615946399
12048,Tobe Hooper,18,5.407777777777778
12174,Tonino De Bernardi,18,7.472222222222222
10329,Richard Linklater,17,6.569411764705883
5936,Jesús Franco,17,5.116470588235295
8574,Michael Keusch,17,3.9071700839812604
10793,Roy Ward Baker,17,6.583529411764706
8629,Michael Powell,17,8.064117647058824
12595,Wes Craven,17,5.628823529411765
3722,Fabrizio Costa,17,4.3990472784026995
1548,Brian De Palma,17,7.265882352941176
1839,Castellano & Pipolo,17,4.209411764705883
2954,Delmer Daves,17,6.946470588235294
9480,Pasquale Squitieri,17,4.278823529411764
770,Andrew V. McLaglen,17,5.62235294117647
7066,Krzysztof Kieslowski,17,8.120588235294118
6281,John Schlesinger,17,7.156470588235294
12554,Walter Hill,17,6.982352941176471
